id,data_reclamacao,canal,texto_reclamacao,produto,status
REC-2026-00017,2026-02-02,Banco Central,Transferencia TED voltou e me cobraram a taxa msm assim. Absurdo.,Conta Corrente,Em análise
REC-2026-00018,2026-03-31,Ouvidoria,transferencia ted voltou e me cobraram a taxa msm assim. absurdo.,Conta Corrente,Em análise
REC-2026-00019,2025-12-24,Redes Sociais,"meu saldo tá negativo mas eu não usei o cheque especial, da uma olhada ai.",Conta Corrente,Aberta
REC-2026-00020,2026-02-04,SAC,Gostaria de mudar minha conta para pacote essencial gratuito.,Conta Corrente,Aberta
REC-2026-00021,2025-12-19,SAC,"Fui mal tratado pelo gerente da agencia, quero formalizar uma reclamacao.",,Resolvida
REC-2026-00022,2026-02-15,Ouvidoria,A taxa de juros do meu empréstimo veio diferente do que foi combinado pelo gerente.,Empréstimo,Resolvida
REC-2026-00023,2026-01-12,Banco Central,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Resolvida
REC-2026-00024,2026-02-11,Ouvidoria,Fiz um acordo de renegociação mas o boleto não chegou no meu email.,Empréstimo,Em análise
REC-2026-00025,2026-02-17,Banco Central,"Quero antecipar as parcelas do meu emprestimo mas o sac nao me atende, fico horas na linha.",Empréstimo,Aberta
REC-2026-00026,2026-03-18,SAC,Como cancelo a renovação automática do seguro prestamista?,Seguros,Aberta
REC-2026-00027,2026-01-06,Redes Sociais,"Acionei o seguro do carro e a franquia ta um roubo, propaganda enganosa.",Seguros,Resolvida
REC-2026-00028,2026-01-31,Ouvidoria,A taxa de juros do meu empréstimo veio diferente do que foi combinado pelo gerente.,Empréstimo,Aberta
REC-2026-00029,2025-12-09,Redes Sociais,"A taxa de anuidade veio absurda, quero cancelar meu cartao de credito.",Cartão de Crédito,Em análise
REC-2026-00030,2025-12-14,Ouvidoria,Alguém ligou se passando por funcionário de vcs pedindo meus dados.,,Resolvida
REC-2026-00031,2025-12-11,Banco Central,Como cancelo a renovação automática do seguro prestamista?,Seguros,Em análise
REC-2026-00032,2026-02-22,SAC,"A taxa de anuidade veio absurda, quero cancelar meu cartao de credito.",Cartão de Crédito,Resolvida
REC-2026-00033,2025-12-02,Ouvidoria,nao estou conseguindo fazer login na minha conta corrente pelo site.,Conta Corrente,Em análise
REC-2026-00034,2026-02-27,SAC,"o aplicativo de vcs é horrivel, so trava toda vez que tem atualização.",,Aberta
REC-2026-00035,2026-02-24,Ouvidoria,Transferencia TED voltou e me cobraram a taxa msm assim. Absurdo.,Conta Corrente,Resolvida
REC-2026-00036,2026-02-05,SAC,solicitei um aumento de limite e até agora nenhuma resposta. péssimo serviço.,Cartão de Crédito,Aberta
REC-2026-00037,2026-03-03,SAC,"Demora pra liberar o sinistro do seguro, já enviei os BOs.",Seguros,Aberta
REC-2026-00038,2026-01-06,Redes Sociais,A taxa de juros do meu empréstimo veio diferente do que foi combinado pelo gerente.,Empréstimo,Aberta
REC-2026-00039,2026-02-26,Redes Sociais,Fiz um acordo de renegociação mas o boleto não chegou no meu email.,Empréstimo,Em análise
REC-2026-00040,2026-02-17,Redes Sociais,fiz um acordo de renegociação mas o boleto não chegou no meu email.,Empréstimo,Resolvida
REC-2026-00041,2026-01-21,SAC,fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Aberta
REC-2026-00042,2026-02-15,Ouvidoria,"O rendimento do meu CDB ta errado, não bate com o CDI.",Investimentos,Aberta
REC-2026-00043,2025-12-26,SAC,"Meu saldo tá negativo mas eu não usei o cheque especial, da uma olhada ai.",Conta Corrente,Resolvida
REC-2026-00044,2026-02-23,Ouvidoria,"Meu cartao foi clonado!!! Fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Aberta
REC-2026-00045,2025-12-02,Banco Central,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Em análise
REC-2026-00046,2026-03-12,Ouvidoria,Fui resgatar meu fundo de investimento e o dinheiro sumiu. Onde foi parar???,Investimentos,Resolvida
REC-2026-00047,2026-01-03,SAC,"Demora pra liberar o sinistro do seguro, já enviei os BOs.",Seguros,Aberta
REC-2026-00048,2026-01-23,Ouvidoria,fizeram um saque indevido na minha conta ontem a noite. socorro!!,Conta Corrente,Resolvida
REC-2026-00049,2026-03-01,SAC,Fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Em análise
REC-2026-00050,2026-03-18,SAC,"Demora na aprovacao do emprestimo, ja mandei todos os documentos tem semanas.",Empréstimo,Aberta
REC-2026-00051,2026-03-25,Redes Sociais,Fizeram um saque indevido na minha conta ontem a noite. Socorro!!,Conta Corrente,Em análise
REC-2026-00052,2026-02-01,SAC,Como cancelo a renovação automática do seguro prestamista?,Seguros,Aberta
REC-2026-00053,2026-03-26,Banco Central,"A taxa de anuidade veio absurda, quero cancelar meu cartao de credito.",Cartão de Crédito,Em análise
REC-2026-00054,2026-03-01,Redes Sociais,"aprovaram uma compra de r$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Aberta
REC-2026-00055,2026-01-10,Ouvidoria,Fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Em análise
REC-2026-00056,2025-12-16,Ouvidoria,Transferencia TED voltou e me cobraram a taxa msm assim. Absurdo.,Conta Corrente,Em análise
REC-2026-00057,2026-01-09,Redes Sociais,Mandei email pra ouvidoria e fui ignorada com sucesso. Parabéns.,,Aberta
REC-2026-00058,2026-01-31,Ouvidoria,"Demora pra liberar o sinistro do seguro, já enviei os BOs.",Seguros,Resolvida
REC-2026-00059,2025-12-11,Redes Sociais,"Meu cartao foi clonado!!! Fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Resolvida
REC-2026-00060,2026-01-26,Banco Central,Estao descontando um seguro de vida da minha conta sem minha autorização!!,Seguros,Resolvida
REC-2026-00061,2026-01-11,Ouvidoria,Fui resgatar meu fundo de investimento e o dinheiro sumiu. Onde foi parar???,Investimentos,Resolvida
REC-2026-00062,2026-01-27,Redes Sociais,"O pix que eu fiz nao caiu na conta do recebedor, sumiu meu dinheiro!",Conta Corrente,Aberta
REC-2026-00063,2026-01-09,Redes Sociais,Fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Aberta
REC-2026-00064,2025-12-20,SAC,Solicitei um aumento de limite e até agora nenhuma resposta. PÉSSIMO serviço.,Cartão de Crédito,Aberta
REC-2026-00065,2026-03-12,SAC,Solicitei um aumento de limite e até agora nenhuma resposta. PÉSSIMO serviço.,Cartão de Crédito,Aberta
REC-2026-00066,2026-01-25,SAC,Solicitei um aumento de limite e até agora nenhuma resposta. PÉSSIMO serviço.,Cartão de Crédito,Em análise
REC-2026-00067,2026-02-08,Redes Sociais,"fui mal tratado pelo gerente da agencia, quero formalizar uma reclamacao.",,Em análise
REC-2026-00068,2026-02-28,Redes Sociais,Mandei email pra ouvidoria e fui ignorada com sucesso. Parabéns.,,Aberta
REC-2026-00069,2025-12-16,Banco Central,Estao descontando um seguro de vida da minha conta sem minha autorização!!,Seguros,Aberta
REC-2026-00070,2026-02-07,SAC,Fui resgatar meu fundo de investimento e o dinheiro sumiu. Onde foi parar???,Investimentos,Em análise
REC-2026-00071,2026-02-04,Redes Sociais,fiz um acordo de renegociação mas o boleto não chegou no meu email.,Empréstimo,Resolvida
REC-2026-00072,2026-01-01,SAC,Estao descontando um seguro de vida da minha conta sem minha autorização!!,Seguros,Aberta
REC-2026-00073,2026-01-16,Banco Central,Mandei email pra ouvidoria e fui ignorada com sucesso. Parabéns.,,Resolvida
REC-2026-00074,2026-03-14,SAC,Solicitei um aumento de limite e até agora nenhuma resposta. PÉSSIMO serviço.,Cartão de Crédito,Resolvida
REC-2026-00075,2026-01-10,Banco Central,Como cancelo a renovação automática do seguro prestamista?,Seguros,Em análise
REC-2026-00076,2026-02-13,Redes Sociais,mandei email pra ouvidoria e fui ignorada com sucesso. parabéns.,,Aberta
REC-2026-00077,2026-03-10,SAC,Fiz um acordo de renegociação mas o boleto não chegou no meu email.,Empréstimo,Em análise
REC-2026-00078,2025-12-16,Ouvidoria,Gostaria de mudar minha conta para pacote essencial gratuito.,Conta Corrente,Aberta
REC-2026-00079,2025-12-09,Banco Central,Fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Resolvida
REC-2026-00080,2026-01-04,Banco Central,Solicitei um aumento de limite e até agora nenhuma resposta. PÉSSIMO serviço.,Cartão de Crédito,Aberta
REC-2026-00081,2026-01-10,Banco Central,fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Em análise
REC-2026-00082,2026-03-22,SAC,"o pix que eu fiz nao caiu na conta do recebedor, sumiu meu dinheiro!",Conta Corrente,Resolvida
REC-2026-00083,2025-12-25,Redes Sociais,Mandei email pra ouvidoria e fui ignorada com sucesso. Parabéns.,,Aberta
REC-2026-00084,2026-03-18,SAC,Como faço para renegociar minha dívida de empréstimo?,Empréstimo,Aberta
REC-2026-00085,2026-01-30,Banco Central,"Estao me cobrando por um emprestimo que eu NUNCA fiz, roubaram meus dados!!!",Empréstimo,Resolvida
REC-2026-00086,2026-03-17,Ouvidoria,"Minha senha foi bloqueada e eu to no exterior, que inferno de banco!!",,Em análise
REC-2026-00087,2026-02-17,Ouvidoria,"bloquearam minha conta do nada, preciso pagar minhas contas, que absurdo! vou processar.",Conta Corrente,Resolvida
REC-2026-00088,2026-03-15,Banco Central,"Péssimo atendimento no SAC, fiquei 40 minutos esperando e a ligação caiu.",,Aberta
REC-2026-00089,2025-12-23,SAC,"Meu cartao foi clonado!!! Fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Resolvida
REC-2026-00090,2026-01-20,Banco Central,"fiz uma compra ontem mas me arrependi, como faço pra estornar no cartão?",Cartão de Crédito,Resolvida
REC-2026-00091,2026-01-14,Banco Central,Cobrança de tarifa de manutenção de conta que eu nao contratei. Exijo estorno.,Conta Corrente,Resolvida
REC-2026-00092,2026-03-02,Ouvidoria,"Meu cartao foi clonado!!! Fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Aberta
REC-2026-00093,2026-01-30,Redes Sociais,"Nao sei o que ta acontecendo, mas meu saldo sumiu.",,Em análise
REC-2026-00094,2026-03-09,Redes Sociais,"nao consigo acessar minha fatura pelo app, da erro sempre. arrumem logo.",Cartão de Crédito,Resolvida
REC-2026-00095,2025-12-03,Redes Sociais,"Bloquearam minha conta do nada, preciso pagar minhas contas, que absurdo! Vou processar.",Conta Corrente,Em análise
REC-2026-00096,2025-12-23,Redes Sociais,"o cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Aberta
REC-2026-00097,2026-01-14,SAC,A taxa de juros do meu empréstimo veio diferente do que foi combinado pelo gerente.,Empréstimo,Resolvida
REC-2026-00098,2025-12-19,SAC,"Aprovaram uma compra de R$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Aberta
REC-2026-00099,2026-03-15,Ouvidoria,Gostaria de mudar minha conta para pacote essencial gratuito.,Conta Corrente,Aberta
REC-2026-00100,2025-12-13,SAC,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Resolvida
REC-2026-00101,2026-03-01,Banco Central,nao estou conseguindo fazer login na minha conta corrente pelo site.,Conta Corrente,Em análise
REC-2026-00102,2025-12-11,Redes Sociais,Fiz um acordo de renegociação mas o boleto não chegou no meu email.,Empréstimo,Em análise
REC-2026-00103,2026-03-10,Redes Sociais,"nao consigo acessar minha fatura pelo app, da erro sempre. arrumem logo.",Cartão de Crédito,Aberta
REC-2026-00104,2025-12-28,Ouvidoria,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Aberta
REC-2026-00105,2026-01-05,Ouvidoria,"Acionei o seguro do carro e a franquia ta um roubo, propaganda enganosa.",Seguros,Em análise
REC-2026-00106,2026-02-18,SAC,Nao estou conseguindo fazer login na minha conta corrente pelo site.,Conta Corrente,Em análise
REC-2026-00107,2026-02-23,Ouvidoria,"nao sei o que ta acontecendo, mas meu saldo sumiu.",,Em análise
REC-2026-00108,2026-02-05,SAC,Solicitei um aumento de limite e até agora nenhuma resposta. PÉSSIMO serviço.,Cartão de Crédito,Resolvida
REC-2026-00109,2026-01-21,Ouvidoria,"nao consigo acessar minha fatura pelo app, da erro sempre. arrumem logo.",Cartão de Crédito,Em análise
REC-2026-00110,2025-12-14,Banco Central,"A taxa de anuidade veio absurda, quero cancelar meu cartao de credito.",Cartão de Crédito,Aberta
REC-2026-00111,2025-12-22,SAC,"Vou reclamar no procon, banco lixo, nao resolvem nada.",,Aberta
REC-2026-00112,2026-01-24,SAC,"Nao sei o que ta acontecendo, mas meu saldo sumiu.",,Aberta
REC-2026-00113,2025-12-12,Ouvidoria,Solicitei um aumento de limite e até agora nenhuma resposta. PÉSSIMO serviço.,Cartão de Crédito,Aberta
REC-2026-00114,2025-12-21,SAC,"Minha senha foi bloqueada e eu to no exterior, que inferno de banco!!",,Aberta
REC-2026-00115,2026-01-27,Banco Central,"Meu cartao foi clonado!!! Fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Em análise
REC-2026-00116,2026-03-14,Ouvidoria,"O aplicativo de vcs é horrivel, so trava toda vez que tem atualização.",,Em análise
REC-2026-00117,2026-01-07,Ouvidoria,"Fiz uma compra ontem mas me arrependi, como faço pra estornar no cartão?",Cartão de Crédito,Resolvida
REC-2026-00118,2026-02-14,Redes Sociais,cobrança de tarifa de manutenção de conta que eu nao contratei. exijo estorno.,Conta Corrente,Em análise
REC-2026-00119,2026-03-01,Redes Sociais,"Home broker travou bem na hora que eu ia vender as ações, tive prejuízo!!!",Investimentos,Em análise
REC-2026-00120,2026-02-05,Redes Sociais,Fizeram um saque indevido na minha conta ontem a noite. Socorro!!,Conta Corrente,Em análise
REC-2026-00121,2025-12-13,Banco Central,"Meu saldo tá negativo mas eu não usei o cheque especial, da uma olhada ai.",Conta Corrente,Em análise
REC-2026-00122,2025-12-18,Banco Central,Fui resgatar meu fundo de investimento e o dinheiro sumiu. Onde foi parar???,Investimentos,Aberta
REC-2026-00123,2026-03-04,Banco Central,"nao consigo acessar minha fatura pelo app, da erro sempre. arrumem logo.",Cartão de Crédito,Resolvida
REC-2026-00124,2025-12-16,SAC,"Bloquearam minha conta do nada, preciso pagar minhas contas, que absurdo! Vou processar.",Conta Corrente,Resolvida
REC-2026-00125,2026-02-11,SAC,Cobrança de tarifa de manutenção de conta que eu nao contratei. Exijo estorno.,Conta Corrente,Aberta
REC-2026-00126,2026-01-06,Ouvidoria,"Nao sei o que ta acontecendo, mas meu saldo sumiu.",,Em análise
REC-2026-00127,2026-02-06,SAC,Fui resgatar meu fundo de investimento e o dinheiro sumiu. Onde foi parar???,Investimentos,Resolvida
REC-2026-00128,2026-02-21,Redes Sociais,"Fui mal tratado pelo gerente da agencia, quero formalizar uma reclamacao.",,Em análise
REC-2026-00129,2026-03-24,Banco Central,"A taxa de anuidade veio absurda, quero cancelar meu cartao de credito.",Cartão de Crédito,Aberta
REC-2026-00130,2026-03-15,Banco Central,"Fui mal tratado pelo gerente da agencia, quero formalizar uma reclamacao.",,Resolvida
REC-2026-00131,2026-01-18,Ouvidoria,"aprovaram uma compra de r$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Em análise
REC-2026-00132,2026-03-20,Ouvidoria,"péssimo atendimento no sac, fiquei 40 minutos esperando e a ligação caiu.",,Em análise
REC-2026-00133,2026-01-29,Redes Sociais,"Quero transferir minha custodia pra outra corretora, ninguem me ajuda.",Investimentos,Resolvida
REC-2026-00134,2026-02-04,Banco Central,Transferencia TED voltou e me cobraram a taxa msm assim. Absurdo.,Conta Corrente,Resolvida
REC-2026-00135,2025-12-15,Banco Central,"Meu cartao foi clonado!!! Fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Aberta
REC-2026-00136,2026-01-03,Redes Sociais,"nao consigo acessar minha fatura pelo app, da erro sempre. arrumem logo.",Cartão de Crédito,Resolvida
REC-2026-00137,2025-12-07,Banco Central,"Aprovaram uma compra de R$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Aberta
REC-2026-00138,2026-03-25,SAC,"Meu saldo tá negativo mas eu não usei o cheque especial, da uma olhada ai.",Conta Corrente,Aberta
REC-2026-00139,2026-03-07,Banco Central,"Aprovaram uma compra de R$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Aberta
REC-2026-00140,2025-12-08,Ouvidoria,"minha senha foi bloqueada e eu to no exterior, que inferno de banco!!",,Aberta
REC-2026-00141,2026-01-20,SAC,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Resolvida
REC-2026-00142,2025-12-31,Redes Sociais,"Vou reclamar no procon, banco lixo, nao resolvem nada.",,Aberta
REC-2026-00143,2026-02-28,SAC,"nao consigo acessar minha fatura pelo app, da erro sempre. arrumem logo.",Cartão de Crédito,Em análise
REC-2026-00144,2025-12-25,Redes Sociais,"O pix que eu fiz nao caiu na conta do recebedor, sumiu meu dinheiro!",Conta Corrente,Aberta
REC-2026-00145,2025-12-17,Redes Sociais,"aprovaram uma compra de r$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Em análise
REC-2026-00146,2026-03-19,Banco Central,"meu cartao foi clonado!!! fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Aberta
REC-2026-00147,2026-03-06,Banco Central,"Fui mal tratado pelo gerente da agencia, quero formalizar uma reclamacao.",,Em análise
REC-2026-00148,2026-03-11,Banco Central,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Em análise
REC-2026-00149,2026-03-05,Banco Central,Nao estou conseguindo fazer login na minha conta corrente pelo site.,Conta Corrente,Aberta
REC-2026-00150,2025-12-15,Redes Sociais,"Bloquearam minha conta do nada, preciso pagar minhas contas, que absurdo! Vou processar.",Conta Corrente,Aberta
REC-2026-00151,2026-02-18,Banco Central,Fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Em análise
REC-2026-00152,2026-01-12,SAC,Cobrança de tarifa de manutenção de conta que eu nao contratei. Exijo estorno.,Conta Corrente,Resolvida
REC-2026-00153,2026-01-22,Redes Sociais,Fiz um acordo de renegociação mas o boleto não chegou no meu email.,Empréstimo,Aberta
REC-2026-00154,2026-01-16,SAC,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Aberta
REC-2026-00155,2025-12-06,Redes Sociais,fizeram um saque indevido na minha conta ontem a noite. socorro!!,Conta Corrente,Em análise
REC-2026-00156,2026-02-24,Redes Sociais,"demora pra liberar o sinistro do seguro, já enviei os bos.",Seguros,Aberta
REC-2026-00157,2025-12-26,Redes Sociais,Nao estou conseguindo fazer login na minha conta corrente pelo site.,Conta Corrente,Resolvida
REC-2026-00158,2026-02-22,SAC,"demora na aprovacao do emprestimo, ja mandei todos os documentos tem semanas.",Empréstimo,Em análise
REC-2026-00159,2026-02-23,Ouvidoria,Alguém ligou se passando por funcionário de vcs pedindo meus dados.,,Resolvida
REC-2026-00160,2026-03-08,SAC,como faço para renegociar minha dívida de empréstimo?,Empréstimo,Aberta
REC-2026-00161,2025-12-12,Banco Central,A taxa de juros do meu empréstimo veio diferente do que foi combinado pelo gerente.,Empréstimo,Aberta
REC-2026-00162,2026-02-03,Ouvidoria,"Fiz uma compra ontem mas me arrependi, como faço pra estornar no cartão?",Cartão de Crédito,Aberta
REC-2026-00163,2026-02-20,Ouvidoria,Como cancelo a renovação automática do seguro prestamista?,Seguros,Resolvida
REC-2026-00164,2025-12-31,Banco Central,gostaria de mudar minha conta para pacote essencial gratuito.,Conta Corrente,Em análise
REC-2026-00165,2026-02-25,Redes Sociais,Transferencia TED voltou e me cobraram a taxa msm assim. Absurdo.,Conta Corrente,Em análise
REC-2026-00166,2026-03-02,Ouvidoria,"Péssimo atendimento no SAC, fiquei 40 minutos esperando e a ligação caiu.",,Em análise
REC-2026-00167,2026-03-27,Redes Sociais,Transferencia TED voltou e me cobraram a taxa msm assim. Absurdo.,Conta Corrente,Resolvida
REC-2026-00168,2025-12-21,SAC,Estao descontando um seguro de vida da minha conta sem minha autorização!!,Seguros,Resolvida
REC-2026-00169,2026-01-04,Redes Sociais,"minha senha foi bloqueada e eu to no exterior, que inferno de banco!!",,Em análise
REC-2026-00170,2026-02-13,Banco Central,"Meu cartao foi clonado!!! Fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Aberta
REC-2026-00171,2026-02-17,SAC,"Aprovaram uma compra de R$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Resolvida
REC-2026-00172,2026-01-04,Ouvidoria,"A taxa de anuidade veio absurda, quero cancelar meu cartao de credito.",Cartão de Crédito,Aberta
REC-2026-00173,2026-03-24,Redes Sociais,A taxa de juros do meu empréstimo veio diferente do que foi combinado pelo gerente.,Empréstimo,Aberta
REC-2026-00174,2026-02-20,SAC,"Fiz uma compra ontem mas me arrependi, como faço pra estornar no cartão?",Cartão de Crédito,Em análise
REC-2026-00175,2026-03-05,Banco Central,"Demora na aprovacao do emprestimo, ja mandei todos os documentos tem semanas.",Empréstimo,Em análise
REC-2026-00176,2026-01-17,Banco Central,"Fui mal tratado pelo gerente da agencia, quero formalizar uma reclamacao.",,Resolvida
REC-2026-00177,2026-03-06,Banco Central,Como cancelo a renovação automática do seguro prestamista?,Seguros,Aberta
REC-2026-00178,2026-01-08,Ouvidoria,"Acionei o seguro do carro e a franquia ta um roubo, propaganda enganosa.",Seguros,Resolvida
REC-2026-00179,2026-02-27,Banco Central,Como cancelo a renovação automática do seguro prestamista?,Seguros,Aberta
REC-2026-00180,2026-02-04,Banco Central,Como cancelo a renovação automática do seguro prestamista?,Seguros,Em análise
REC-2026-00181,2026-02-17,Redes Sociais,"O rendimento do meu CDB ta errado, não bate com o CDI.",Investimentos,Em análise
REC-2026-00182,2025-12-07,SAC,"Meu saldo tá negativo mas eu não usei o cheque especial, da uma olhada ai.",Conta Corrente,Aberta
REC-2026-00183,2025-12-31,Redes Sociais,"quero antecipar as parcelas do meu emprestimo mas o sac nao me atende, fico horas na linha.",Empréstimo,Resolvida
REC-2026-00184,2026-01-14,Ouvidoria,transferencia ted voltou e me cobraram a taxa msm assim. absurdo.,Conta Corrente,Aberta
REC-2026-00185,2026-01-15,Ouvidoria,"Aprovaram uma compra de R$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Aberta
REC-2026-00186,2025-12-09,Banco Central,"O pix vai para puta que pariu, porra que eu fiz nao caiu na conta do recebedor, sumiu meu dinheiro!",Conta Corrente,Aberta
REC-2026-00187,2025-12-22,Redes Sociais,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Em análise
REC-2026-00188,2026-03-28,Redes Sociais,Fizeram um saque indevido na minha conta ontem a noite. Socorro!!,Conta Corrente,Resolvida
REC-2026-00189,2026-03-01,SAC,"o rendimento do meu cdb ta errado, não bate com o cdi.",Investimentos,Em análise
REC-2026-00190,2025-12-24,SAC,"O pix que eu fiz nao caiu na conta do recebedor, sumiu meu dinheiro!",Conta Corrente,Resolvida
REC-2026-00191,2026-03-03,Redes Sociais,"Quero transferir minha custodia pra outra corretora, ninguem me ajuda.",Investimentos,Aberta
REC-2026-00192,2026-03-28,SAC,"A taxa de anuidade veio absurda, quero cancelar meu cartao de credito.",Cartão de Crédito,Em análise
REC-2026-00193,2026-02-20,Redes Sociais,"A taxa de anuidade veio absurda, quero cancelar meu cartao de credito.",Cartão de Crédito,Em análise
REC-2026-00194,2026-03-26,Ouvidoria,"Aprovaram uma compra de R$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Aberta
REC-2026-00195,2026-01-06,Banco Central,Estao descontando um seguro de vida da minha conta sem minha autorização!!,Seguros,Aberta
REC-2026-00196,2026-03-01,Redes Sociais,"Péssimo atendimento no SAC, fiquei 40 minutos esperando e a ligação caiu.",,Resolvida
REC-2026-00197,2026-01-24,Banco Central,"A taxa de anuidade veio absurda, quero cancelar meu cartao de credito.",Cartão de Crédito,Em análise
REC-2026-00198,2026-01-12,Redes Sociais,"Péssimo atendimento no SAC, fiquei 40 minutos esperando e a ligação caiu.",,Em análise
REC-2026-00199,2026-03-29,Redes Sociais,Transferencia TED voltou e me cobraram a taxa msm assim. Absurdo.,Conta Corrente,Em análise
REC-2026-00200,2026-03-10,Redes Sociais,"Péssimo atendimento no SAC, fiquei 40 minutos esperando e a ligação caiu.",,Aberta
REC-2026-00201,2026-01-06,Ouvidoria,"Quero transferir minha custodia pra outra corretora, ninguem me ajuda.",Investimentos,Resolvida
REC-2026-00202,2026-03-17,Ouvidoria,"nao consigo acessar minha fatura pelo app, da erro sempre. arrumem logo.",Cartão de Crédito,Resolvida
REC-2026-00203,2026-02-22,Redes Sociais,mandei email pra ouvidoria e fui ignorada com sucesso. parabéns.,,Em análise
REC-2026-00204,2025-12-02,Ouvidoria,"fiz uma compra ontem mas me arrependi, como faço pra estornar no cartão?",Cartão de Crédito,Aberta
